channel_1,channel_2,channel_3,channel_4
0.11153956,0.11646034,0.121619746,0.12678789
0.25789627,0.26301983,0.26832464,0.27369064
0.05505321,0.05788569,0.06073769,0.0635641
-0.19366068,-0.19281723,-0.19177309,-0.19085982
-0.072592735,-0.078105465,-0.08323184,-0.08840882
0.025974,0.020103723,0.014409095,0.008725444
-0.018547881,-0.02817198,-0.03761982,-0.046994522
-0.092762776,-0.10132524,-0.10983112,-0.118314676
-0.0210374,-0.02922576,-0.03748066,-0.045775697
0.0012806917,-0.002602272,-0.0074178325,-0.012251941
-0.11427865,-0.116516255,-0.11881641,-0.121056005
-0.26573333,-0.26877028,-0.2720211,-0.2752014
-0.22905579,-0.23167086,-0.23472644,-0.23778696
0.0065271347,0.0062131872,0.0056178034,0.0050035766
0.12579484,0.12504227,0.124163195,0.12329742
0.082807414,0.08119939,0.07956736,0.07797932
-0.0718746,-0.07352317,-0.07523325,-0.07687889
-0.22414906,-0.22529684,-0.22649565,-0.22761104
-0.14761494,-0.1490859,-0.15048599,-0.1517919
-0.05361552,-0.053290043,-0.052849922,-0.05240833
-0.050250582,-0.049097884,-0.04804201,-0.047072064
-0.08761734,-0.08784138,-0.08828716,-0.08874195
0.011456804,0.011138128,0.010763527,0.010487375
0.07227843,0.072869286,0.07352205,0.07427304
0.22046556,0.22135146,0.22224028,0.22312322
0.49603456,0.4965118,0.49695215,0.49735963
0.61623657,0.61650145,0.61676687,0.6170573
0.50945073,0.5087654,0.50816625,0.50762117
0.37235537,0.3710517,0.36996186,0.36892903
0.2680487,0.26696876,0.26614547,0.26537633
0.002701135,0.00071494596,-0.0019180924,-0.004991609
-0.42411566,-0.4292349,-0.4342485,-0.43921998
-0.5847523,-0.5898899,-0.59479535,-0.59961826
-0.7594916,-0.7635178,-0.767227,-0.77086216
-0.9496049,-0.9535996,-0.9573569,-0.96106917
-0.93809325,-0.94233716,-0.9463701,-0.95036256
-0.7323963,-0.73564786,-0.73867387,-0.7416753
-0.48812643,-0.49052843,-0.49266165,-0.49484152
-0.2745098,-0.27736178,-0.2798799,-0.2825028
-0.20966686,-0.21129741,-0.21253625,-0.21387358
-0.29107565,-0.2899419,-0.28853217,-0.2872205
-0.24154048,-0.23878479,-0.235887,-0.23308563
0.054130074,0.05613055,0.0582251,0.06027656
0.27074516,0.27255008,0.27451375,0.27643973
0.32979387,0.3316539,0.333713,0.33575097
0.31280732,0.31495085,0.31725907,0.3195786
0.30536032,0.30813646,0.31096187,0.31376356
0.23076963,0.23399594,0.23721746,0.24035828
0.18597814,0.18837464,0.19081071,0.19318928
0.1791861,0.17975177,0.18031734,0.18087436
0.044962335,0.045051873,0.04505507,0.04505052
-0.17834644,-0.17602207,-0.1737785,-0.1714995
-0.41840717,-0.4152212,-0.41202185,-0.40876293
-0.6360829,-0.63419306,-0.63237894,-0.63059217
-0.7348027,-0.73348904,-0.73231477,-0.73118687
-0.7360967,-0.7343678,-0.7326483,-0.7309223
-0.76971287,-0.76826304,-0.7666419,-0.7650334
-0.77156115,-0.77069926,-0.7696778,-0.7687031
-0.6922729,-0.69139326,-0.6904852,-0.68952274
-0.65615094,-0.6557365,-0.6553138,-0.6547625
-0.7726283,-0.7718828,-0.7710438,-0.77015704
-0.8021764,-0.80005264,-0.7978558,-0.7956671
-0.6867165,-0.68439597,-0.68212044,-0.67981935
-0.4578976,-0.4575212,-0.45733866,-0.45709
-0.29417336,-0.2946902,-0.2954816,-0.29619595
-0.3328612,-0.33274743,-0.3328632,-0.33288795
-0.32277447,-0.32338342,-0.32399392,-0.32459646
-0.014549167,-0.015085696,-0.015369155,-0.015765788
0.21745734,0.21890987,0.22042124,0.22190401
0.25834924,0.26033694,0.26218626,0.26407257
0.27269942,0.27305666,0.27336657,0.27370125
0.38443196,0.3837984,0.38333547,0.3828984
0.35479885,0.3543733,0.35411763,0.3539584
0.16757198,0.16782375,0.16817915,0.16866751
0.07730136,0.07792335,0.07876749,0.07972657
0.068513565,0.06888347,0.0696006,0.07042379
0.041228075,0.041356433,0.04182988,0.042395536
0.036358476,0.037306316,0.03857291,0.0398912
-0.02290383,-0.020270854,-0.017268386,-0.014254809
-0.114604555,-0.113262914,-0.11182047,-0.11044488
-0.06294673,-0.062947676,-0.06295501,-0.063117124
0.021225244,0.021485819,0.021687608,0.021769071
-0.11145098,-0.10998327,-0.108717926,-0.10759477
-0.19800436,-0.19530192,-0.19259527,-0.18995276
0.009452664,0.012239583,0.015268051,0.018298062
0.034267984,0.036659863,0.039273772,0.04191407
-0.017109208,-0.01578046,-0.014423208,-0.012997842
0.09726398,0.096863456,0.09643088,0.09602459
0.29511395,0.2943105,0.29356748,0.29282582
0.36973292,0.36907172,0.3684712,0.36786225
0.447104,0.44694367,0.44675556,0.44656104
0.6508346,0.650892,0.6508245,0.6507568
0.73454875,0.7344296,0.7340593,0.7337168
0.60710984,0.6072728,0.6070944,0.60694796
0.42529127,0.4258791,0.42618832,0.42647266
0.17139481,0.17180337,0.17212121,0.1724065
-0.21790604,-0.21805212,-0.21819505,-0.21828434
-0.5134938,-0.5134658,-0.5134678,-0.5134338
-0.6807788,-0.68099344,-0.6812378,-0.6815613
-0.8830988,-0.88343126,-0.88370174,-0.8840572
-0.96755207,-0.96763754,-0.9675772,-0.9675156
-0.7537972,-0.7538886,-0.753845,-0.7537776
-0.4059555,-0.40662572,-0.40720764,-0.40784886
-0.19022092,-0.1919091,-0.193383,-0.19493116
-0.14178479,-0.14491165,-0.14771627,-0.1505362
-0.0015461895,-0.0063134413,-0.01076171,-0.015231774
0.15491284,0.15195453,0.14915124,0.14634785
0.35512,0.3525792,0.35010275,0.3476714
0.4418523,0.43982697,0.43772995,0.43563342
0.39193413,0.39095157,0.38987878,0.38872692
0.3499123,0.34945822,0.34892777,0.34832594
0.31018853,0.30889502,0.30741385,0.3058684
0.29614323,0.2941179,0.2917974,0.28939876
0.2518159,0.2503948,0.24870762,0.2469572
0.10728872,0.10640887,0.105301924,0.1041636
-0.15989779,-0.16141705,-0.1631461,-0.16493897
-0.16914527,-0.16997826,-0.170832,-0.17174964
